Fecha,Precipitacion
04/01/2015,4.9
05/01/2015,1.3
06/01/2015,0
07/01/2015,9.3
08/01/2015,24.7
09/01/2015,0
10/01/2015,0
11/01/2015,5
12/01/2015,43.3
13/01/2015,12.7
14/01/2015,0
15/01/2015,1.1
16/01/2015,0
17/01/2015,16.7
18/01/2015,8
19/01/2015,0
20/01/2015,0
21/01/2015,0
22/01/2015,0
23/01/2015,0
24/01/2015,0.9
25/01/2015,0
26/01/2015,25.3
27/01/2015,31.2
28/01/2015,0
29/01/2015,0
30/01/2015,0
31/01/2015,0
01/02/2015,0
02/02/2015,0
03/02/2015,0.3
04/02/2015,0
05/02/2015,0
06/02/2015,0
07/02/2015,0.3
08/02/2015,6
09/02/2015,0
10/02/2015,0
11/02/2015,0
12/02/2015,0
13/02/2015,0
14/02/2015,0
15/02/2015,0
16/02/2015,0
17/02/2015,26
18/02/2015,0
19/02/2015,3
20/02/2015,0
21/02/2015,0
22/02/2015,0
23/02/2015,0
24/02/2015,0
25/02/2015,3
26/02/2015,0
27/02/2015,0
28/02/2015,2
01/03/2015,0
02/03/2015,13
03/03/2015,0
04/03/2015,0
05/03/2015,0
06/03/2015,0
07/03/2015,0
08/03/2015,0
09/03/2015,0
10/03/2015,0
11/03/2015,0
12/03/2015,0
13/03/2015,0
14/03/2015,0
15/03/2015,0
16/03/2015,0
17/03/2015,0
18/03/2015,0
19/03/2015,0
20/03/2015,0
21/03/2015,0
22/03/2015,0
23/03/2015,0.4
24/03/2015,3
25/03/2015,0
26/03/2015,0
27/03/2015,0
28/03/2015,0
29/03/2015,0
30/03/2015,0
31/03/2015,0
01/04/2015,0
02/04/2015,5
03/04/2015,0
04/04/2015,0
05/04/2015,0
06/04/2015,0
07/04/2015,0
08/04/2015,0
09/04/2015,8
10/04/2015,0
11/04/2015,0
12/04/2015,0
13/04/2015,0
14/04/2015,0.3
15/04/2015,29
16/04/2015,0
17/04/2015,0
18/04/2015,0
19/04/2015,0
20/04/2015,0
21/04/2015,0
22/04/2015,0
23/04/2015,0
24/04/2015,0
25/04/2015,0
26/04/2015,0
27/04/2015,0
28/04/2015,28
29/04/2015,0
30/04/2015,14
01/05/2015,10
02/05/2015,0
03/05/2015,0
04/05/2015,0
05/05/2015,0
06/05/2015,0
07/05/2015,0
08/05/2015,8
09/05/2015,0
10/05/2015,0
11/05/2015,0
12/05/2015,0
13/05/2015,0
14/05/2015,0
15/05/2015,0
16/05/2015,0
17/05/2015,0
18/05/2015,4
19/05/2015,0
20/05/2015,0
21/05/2015,0
22/05/2015,0.6
23/05/2015,0
24/05/2015,0.6
25/05/2015,9
26/05/2015,0
